close,high,low,open,timestamp,volume
29063.56,29081.91,29050.89,29070.18,1609485660,5.83351348
29077.51,29092.98,29063.56,29080.44,1609485720,4.38768722
29066.88,29101.47,29063.77,29079.69,1609485780,3.60763999
29101.48,29101.48,29083.02,29084.48,1609485840,0.22935110
29107.66,29107.66,29083.08,29083.08,1609485900,1.92662857
29094.26,29111.65,29094.26,29107.66,1609485960,5.07121088
29071.04,29093.91,29068.01,29078.31,1609486020,5.55697380
29101.43,29101.43,29071.04,29071.04,1609486080,7.14887241
29079.93,29108.7,29072.44,29108.7,1609486140,11.00413811
29092.12,29095.47,29075.41,29079.93,1609486200,2.05959031
29082.44,29096.69,29071.04,29076.91,1609486260,4.99328122
29105.9,29121.8,29083.36,29083.36,1609486320,8.05906746
29121.75,29154.35,29105.9,29105.91,1609486380,30.29246702
29121.85,29140.04,29117.48,29121.75,1609486440,3.74703442
29121.85,29155.28,29121.83,29121.85,1609486500,5.71320406
29144.51,29156.75,29121.85,29121.85,1609486560,3.83567335
29138.57,29156.74,29123.35,29144.51,1609486620,11.04623556
29139.94,29156.73,29123.78,29123.8,1609486680,1.93422206
29148.37,29171.55,29135.59,29151.42,1609486740,10.22128163
29152.65,29174.48,29148.37,29165.71,1609486800,5.05357718
29163.6,29179.17,29161.71,29170.09,1609486860,0.84958376
29178.79,29182.45,29153.95,29163.6,1609486920,6.02879475
29161.39,29182.47,29148.37,29178.78,1609486980,7.85553236
29160.23,29179.53,29140.51,29140.51,1609487040,2.99343415
29161.89,29178.08,29160.23,29160.23,1609487100,4.04638278
29145.48,29164.66,29140.5,29161.89,1609487160,9.41004601
29150.84,29174.88,29143.86,29146,1609487220,9.33229220
29140.5,29165.53,29140.5,29150.83,1609487280,8.62261271
29158.04,29160.99,29137.35,29140.5,1609487340,7.94782841
29178,29179.52,29139.61,29139.61,1609487400,4.32511157
29168.57,29185.6,29160.37,29179.53,1609487460,4.80407566
29182.64,29184.09,29165.3,29168.29,1609487520,4.00785105
29165.3,29176.2,29165.3,29165.57,1609487580,3.47224122
29165.3,29175.52,29165.3,29165.3,1609487640,4.55101267
29160.99,29179.37,29157.96,29165.3,1609487700,2.11238887
29177.93,29179.4,29160.99,29160.99,1609487760,1.79323027
29184.12,29185.59,29177.93,29177.93,1609487820,0.84971085
29173.17,29191.71,29166.26,29167.26,1609487880,2.18588976
29173.17,29182.27,29173.17,29173.17,1609487940,6.24032917
29206.76,29225.56,29173.17,29179.01,1609488000,14.64354881
29247.4,29247.4,29206.76,29206.76,1609488060,20.48181623
29190.71,29226.39,29190.71,29219.83,1609488120,4.74807350
29201,29223.62,29196.59,29223.6,1609488180,1.12171585
29174.45,29202.46,29161.82,29202.46,1609488240,7.29874278
29175.54,29199.86,29162.96,29174.68,1609488300,2.21048906
29138.26,29174.06,29121.4,29153.73,1609488360,5.69782102
29115.89,29135.33,29100,29135.33,1609488420,2.16375456
29107.5,29136.01,29090.08,29090.08,1609488480,2.06007695
29118.91,29118.91,29104.61,29117.68,1609488540,0.50605942
29103.76,29129.6,29103.76,29126.49,1609488600,1.93105858
29111.45,29125.91,29089.71,29121.55,1609488660,2.30017612
29075.54,29109.46,29053.51,29089.71,1609488720,5.11380786
29090.52,29090.52,29075.32,29075.54,1609488780,1.57483814
29064.67,29092.53,29052.03,29068.05,1609488840,3.50298285
29053.09,29094.15,29052.03,29094.15,1609488900,4.22493778
29026.8,29059.04,29018.68,29053.09,1609488960,7.37539009
29054.55,29069.6,29052.36,29052.36,1609489020,1.33145380
29017.21,29075.48,29017.21,29054.55,1609489080,4.42151669
28998.42,29021.19,28982.44,29017.21,1609489140,12.50946248
28982.44,29049.56,28982.44,29001.33,1609489200,7.25305141
28991.14,29006.2,28947.7,28982.44,1609489260,8.32956850
29031.72,29031.72,28950.63,28974.37,1609489320,1.57940844
29045.26,29045.26,29007.12,29016.06,1609489380,1.34091569
29077.71,29077.96,29036.25,29036.25,1609489440,1.92541952
29040.97,29084.78,29040.97,29080.11,1609489500,3.00645604
29064.83,29079.83,29042.75,29078.43,1609489560,3.33906774
29109.89,29109.89,29067.92,29067.92,1609489620,7.48101798
29105.18,29121.8,29080.56,29080.58,1609489680,3.02862336
29105.18,29120.35,29096.79,29105.18,1609489740,4.61427849
29121.46,29136.18,29099.36,29105.18,1609489800,4.86700417
29156.75,29156.75,29121.53,29135.21,1609489860,7.47277123
29155.72,29174.15,29138.3,29154.18,1609489920,4.47356478
29179.97,29179.97,29156.75,29156.75,1609489980,2.14376856
29183.54,29191.74,29155.9,29189.34,1609490040,4.23217713
29144.04,29183.54,29135.6,29183.54,1609490100,3.44878793
29122.08,29144.04,29119.39,29144.04,1609490160,7.57605890
29117.93,29144.56,29117.93,29144.56,1609490220,6.34325806
29119.88,29135.13,29117.93,29117.93,1609490280,5.68603908
29148.89,29148.89,29123.22,29135.13,1609490340,2.37569384
29160.11,29162.24,29139.16,29148.89,1609490400,4.87182426
29123.34,29160.78,29120.02,29160.78,1609490460,3.14626155
29109.89,29139.12,29109.61,29123.34,1609490520,6.11390637
29051.96,29114.38,29049.61,29114.38,1609490580,8.43104845
29038.83,29087.08,29038.83,29059.92,1609490640,1.69470892
29019.01,29064.61,29002.97,29045.33,1609490700,5.41678233
29056.07,29065.46,29017.57,29019.01,1609490760,1.83607169
29072.07,29078.19,29044.36,29078.19,1609490820,2.83569753
29108.21,29111.1,29053.35,29053.35,1609490880,0.61678209
29084.27,29108.21,29084.27,29108.21,1609490940,2.11526905
29107.83,29107.83,29071.87,29101.94,1609491000,0.68631414
29108.46,29134.27,29105.52,29109.99,1609491060,6.79291936
29102.66,29132.28,29101.94,29101.94,1609491120,1.80819868
29124.29,29124.29,29105.44,29119.77,1609491180,0.62383013
29106.5,29122.89,29105.45,29105.6,1609491240,2.75524068
29142.68,29142.68,29106.5,29106.5,1609491300,19.16849155
29140.37,29149.27,29124.15,29124.15,1609491360,7.30070005
29125,29143.59,29125,29125.46,1609491420,3.13532880
29139.94,29143.65,29100.02,29129.15,1609491480,7.63569136
29077.2,29139.12,29077.2,29112.6,1609491540,22.57790651
29098.46,29116.18,29039.59,29060.43,1609491600,1.95111074
29105.52,29116.92,29098.36,29099.91,1609491660,3.54292838
29149.99,29149.99,29104.04,29105.52,1609491720,1.86506012
29145.92,29154.34,29132.35,29136.22,1609491780,4.07785202
29168.6,29168.6,29129.14,29136.81,1609491840,2.17573413
29150,29178.21,29150,29178.21,1609491900,9.93515333
29169.79,29171.83,29150,29150.01,1609491960,6.58404648
29170.03,29185.67,29168.57,29183.92,1609492020,3.16054168
29158.75,29179.65,29155.84,29170.03,1609492080,0.64860766
29150.13,29167.57,29150,29167.57,1609492140,4.29825331
29150,29169.77,29150,29163.06,1609492200,2.47252255
29149.46,29164.5,29133.64,29150,1609492260,8.77263306
29185.67,29185.67,29128.66,29149.92,1609492320,2.27857294
29219.03,29219.03,29189.34,29189.34,1609492380,8.71956527
29191.75,29226.77,29191.75,29222.72,1609492440,8.03857973
29195.44,29223.22,29195.44,29223.22,1609492500,2.98429556
29204.02,29204.02,29182.74,29196.11,1609492560,1.53595916
29198.8,29216.47,29196.76,29196.76,1609492620,3.56774935
29200,29200,29172.08,29198.8,1609492680,4.83110051
29203.16,29217.23,29192.13,29213.09,1609492740,3.17219888
29232.72,29241.74,29195.58,29195.58,1609492800,7.27136952
29242.63,29245.58,29232.72,29232.72,1609492860,0.80854347
29248.15,29248.16,29222.93,29222.93,1609492920,2.08286691
29232.92,29247.25,29221.48,29236.09,1609492980,4.05762171
29235.32,29246.69,29232.92,29232.92,1609493040,1.94195619
29257.09,29270.54,29231.94,29235.32,1609493100,8.54809009
29271.37,29296.95,29261.48,29279.7,1609493160,16.03350250
29297.77,29310.09,29276.26,29296.55,1609493220,2.81811923
29277.46,29313.09,29270.69,29297.93,1609493280,1.82970999
29261.03,29291.76,29261.03,29276,1609493340,8.55150292
29283.82,29283.82,29252.5,29259.05,1609493400,1.99014451
29312.03,29312.03,29265.05,29268.48,1609493460,1.00625689
29313.97,29328.71,29284.62,29311.62,1609493520,1.64160721
29320.47,29332.01,29300,29313.97,1609493580,5.76865663
29344.16,29344.16,29303.67,29329.84,1609493640,7.53919410
29340.56,29357.11,29340,29344.92,1609493700,2.62184758
29350,29357.15,29340.56,29340.56,1609493760,20.28676215
29387.46,29390.85,29350,29350,1609493820,20.75941130
29378.78,29383.7,29344.07,29380.75,1609493880,14.95226306
29340.03,29361.95,29340,29361.27,1609493940,3.48490023
29340,29369.28,29340,29358.77,1609494000,0.85107482
29340,29361.09,29340,29340.01,1609494060,2.52228875
29324.13,29356.58,29308.48,29340,1609494120,10.35075166
29315.51,29342.84,29308.79,29325.53,1609494180,7.40903554
29307.16,29315.51,29300,29311.23,1609494240,15.22953501
29329.55,29329.55,29303.58,29303.58,1609494300,2.48485598
29319.5,29329.55,29319.23,29319.23,1609494360,0.14520959
29329.55,29329.55,29319.5,29319.5,1609494420,0.25450997
29339.13,29350.26,29321.67,29329.55,1609494480,2.92423915
29329.69,29350.26,29329.69,29350.26,1609494540,12.47549978
29320.04,29324.56,29308.38,29320.53,1609494600,1.68367381
29317.44,29326.54,29317.44,29324.56,1609494660,0.72997189
29306.95,29319.22,29306.95,29317.44,1609494720,3.70998617
29296.25,29307.83,29269.24,29307.83,1609494780,9.14604851
29277.78,29291.84,29272.45,29276.58,1609494840,2.28221291
